Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Hakan Ã‡alhanoÄŸlu,tr TUR,"MF,FW",Milan,26,1994,29.0,4,0,0,29,44,3,62,27,13,1,0,0,192,12,38,24.0,Matches
Gianluca Caprari,it ITA,"MF,FW",Benevento,27,1993,20.7,4,1,0,23,55,9,32,30,16,1,0,0,128,4,32,11.1,Matches
Douglas Costa,br BRA,"MF,FW",Juventus,29,1990,0.5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.0,Matches
Mikkel Damsgaard,dk DEN,"MF,FW",Sampdoria,20,2000,19.7,3,0,0,26,28,3,35,28,28,0,1,0,144,22,33,40.0,Matches
Brahim DÃ­az,es ESP,"MF,FW",Milan,20,1999,13.6,2,0,0,14,29,1,8,6,20,1,0,0,87,6,30,16.7,Matches
Elif Elmas,mk MKD,"MF,FW",Napoli,20,1999,8.2,3,0,0,10,8,1,4,5,9,0,0,0,48,1,7,12.5,Matches
Valentin Eysseric,fr FRA,"MF,FW",Fiorentina,28,1992,8.1,2,0,0,12,11,0,18,9,10,0,0,0,61,8,10,44.4,Matches
Iago Falque,es ESP,"MF,FW",Benevento,30,1990,4.0,0,0,0,0,3,0,14,3,2,0,0,0,36,1,8,11.1,Matches
Amer Gojak,ba BIH,"MF,FW",Torino,23,1997,5.3,1,0,0,12,9,3,15,4,4,0,0,0,33,3,13,18.8,Matches
Roberto Insigne,it ITA,"MF,FW",Benevento,26,1994,17.8,2,0,0,13,17,3,26,7,7,0,0,0,107,7,22,24.1,Matches
Yayah Kallon,sl SLE,"MF,FW",Genoa,19,2001,0.5,0,0,0,0,0,2,0,0,0,0,0,0,4,2,2,50.0,Matches
Rade KruniÄ‡,ba BIH,"MF,FW",Milan,26,1993,8.0,3,0,0,11,21,2,2,4,14,0,1,0,61,10,14,41.7,Matches
Juraj Kucka,sk SVK,"MF,FW",Parma,33,1987,25.9,8,0,0,65,71,4,14,27,42,0,0,0,183,86,57,60.1,Matches
Dejan Kulusevski,se SWE,"MF,FW",Juventus,20,2000,21.4,7,0,0,41,29,5,45,12,25,0,0,0,141,12,38,24.0,Matches
KÃ©vin Malcuit,ma MAR,"MF,FW",Napoli,29,1991,0.4,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,33.3,Matches
Junior Messias,br BRA,"MF,FW",Crotone,29,1991,35.7,6,0,0,35,93,5,60,38,42,1,0,0,237,32,70,31.4,Matches
Brain Oddei,it ITA,"MF,FW",Sassuolo,17,2002,0.5,0,0,0,0,1,0,6,1,2,0,0,0,5,0,0,,Matches
Adam Ounas,dz ALG,"MF,FW",Cagliari,23,1996,3.4,0,0,0,3,9,1,11,5,1,0,0,0,27,3,5,37.5,Matches
Mario PaÅ¡aliÄ‡,hr CRO,"MF,FW",Atalanta,25,1995,12.5,2,0,0,19,10,1,8,9,16,0,0,0,101,19,20,48.7,Matches
Lorenzo Pellegrini,it ITA,"MF,FW",Roma,24,1996,28.9,10,0,0,42,51,6,39,29,38,0,1,0,203,18,34,34.6,Matches
Andreas Pereira,br BRA,"MF,FW",Lazio,24,1996,6.0,7,1,1,13,8,3,24,4,1,0,1,0,49,4,17,19.0,Matches
GastÃ³n Pereiro,uy URU,"MF,FW",Cagliari,25,1995,3.0,0,0,0,2,3,0,6,3,3,0,0,0,29,9,6,60.0,Matches
Roberto Pereyra,ar ARG,"MF,FW",Udinese,29,1991,32.5,8,0,0,38,60,7,35,27,16,1,0,0,238,12,25,32.4,Matches
GastÃ³n RamÃ­rez,uy URU,"MF,FW",Sampdoria,29,1990,10.8,5,0,0,33,33,3,19,7,15,0,0,0,70,29,37,43.9,Matches
Luis Rojas,cl CHI,"MF,FW",Crotone,18,2002,1.2,1,0,0,2,0,0,1,4,0,0,0,0,10,2,0,100.0,Matches
Marco Sau,it ITA,"MF,FW",Benevento,32,1987,8.7,1,1,0,8,19,1,16,8,3,1,0,0,50,8,18,30.8,Matches
Riccardo Sottil,it ITA,"MF,FW",Cagliari,21,1999,13.2,3,0,0,19,34,1,30,4,8,0,0,0,99,5,15,25.0,Matches
Borja Valero,es ESP,"MF,FW",Fiorentina,35,1985,5.5,3,0,0,11,15,1,1,7,7,0,0,0,54,2,6,25.0,Matches
Simone Verdi,it ITA,"MF,FW",Torino,28,1992,18.0,6,0,0,25,24,5,67,13,15,0,0,0,107,4,17,19.0,Matches
Mattia Zaccagni,it ITA,"MF,FW",Hellas Verona,25,1995,29.0,6,0,0,36,109,11,71,33,24,1,0,0,195,53,62,46.1,Matches
Filip ÄuriÄiÄ‡,rs SRB,"MF,FW",Sassuolo,28,1992,23.1,5,0,0,52,39,5,13,8,22,0,0,0,145,24,34,41.4,Matches
Vittorio Parigini,it ITA,"FW,DF",Genoa,24,1996,0.6,0,0,0,0,2,1,3,0,1,0,0,0,4,1,2,33.3,Matches
Andreas Skov Olsen,dk DEN,"FW,DF",Bologna,20,1999,13.1,1,0,0,12,12,2,39,4,10,0,0,0,83,8,10,44.4,Matches
Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,2,0,0,16,9,0,0,20,11,0,0,0,104,10,6,62.5,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,9,0,0,31,12,0,1,18,28,0,0,0,93,9,9,50.0,Matches
Luis Alberto,es ESP,MF,Lazio,27,1992,29.1,5,0,0,20,36,2,37,21,32,0,0,0,257,9,19,32.1,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,7,0,0,59,44,0,10,21,42,0,0,0,256,16,36,30.8,Matches
Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
Tolgay Arslan,de GER,MF,Udinese,29,1990,20.2,9,0,0,38,47,0,9,21,39,0,1,0,189,13,9,59.1,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,2,0,0,3,1,0,1,1,2,0,0,0,5,1,2,33.3,Matches
Milan Badelj,hr CRO,MF,Genoa,31,1989,26.8,7,0,0,35,32,1,12,91,46,1,0,0,336,18,14,56.3,Matches
TiemouÃ© Bakayoko,fr FRA,MF,Napoli,25,1994,21.8,6,1,1,36,52,1,1,28,53,1,0,0,193,44,36,55.0,Matches
NicolÃ² Barella,it ITA,MF,Inter,23,1997,32.2,5,0,0,44,53,2,50,32,41,0,1,0,313,33,24,57.9,Matches
Paolo Bartolomei,it ITA,MF,Spezia,30,1989,3.6,1,0,0,4,1,0,9,0,2,0,1,0,18,1,2,33.3,Matches
Daniele Baselli,it ITA,MF,Torino,28,1992,4.4,2,0,0,6,10,0,2,6,10,0,0,0,50,11,9,55.0,Matches
