Player,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Maxime Lopez,Sassuolo,22,1997,20.7,1845,47,300,1208,459,20,1793,16,26,61.5,18,2,1394,6656,3128,130,46,3,15,12,1673,1567,93.7,49
SaÅ¡a LukiÄ‡,Torino,23,1996,23.4,1040,23,164,592,376,45,1014,23,41,56.1,25,1,734,4637,2484,108,51,8,25,30,931,705,75.7,84
Giulio Maggiore,Spezia,22,1998,24.6,1132,37,202,624,380,76,1109,17,37,45.9,21,1,682,3322,1875,102,34,9,37,27,889,734,82.6,105
Francesco Magnanelli,Sassuolo,35,1984,4.9,466,35,118,311,48,0,457,1,2,50.0,1,0,303,1098,522,15,2,0,1,0,352,341,96.9,3
Jean-Victor Makengo,Udinese,22,1998,5.8,270,10,60,156,79,10,268,6,8,75.0,6,0,194,1136,623,30,12,3,5,18,218,186,85.3,19
Rolando Mandragora,Udinese,23,1997,4.4,219,9,60,109,61,8,215,3,3,100.0,3,0,133,582,351,13,2,2,3,8,185,143,77.3,15
Rolando Mandragora,Torino,23,1997,16.9,886,32,193,502,227,22,805,10,16,62.5,11,1,493,1905,951,31,13,1,12,6,558,499,89.4,26
RÄƒzvan Marin,Cagliari,24,1996,32.9,1981,54,419,1114,609,44,1761,32,59,54.2,34,2,1275,7905,3936,156,63,12,31,39,1460,1296,88.8,85
Ryder Matos,Udinese,27,1993,0.1,9,0,0,5,6,1,9,0,0,,0,0,8,105,90,4,2,0,0,1,9,9,100.0,1
Weston McKennie,Juventus,21,1998,18.9,1000,37,183,516,354,81,980,13,22,59.1,16,0,611,2935,1593,65,28,6,29,28,894,707,79.1,136
Soualiho MeÃ¯tÃ©,Milan,26,1994,6.5,369,18,97,218,79,5,360,13,16,81.3,13,0,233,1276,733,29,9,0,2,7,250,222,88.8,13
Soualiho MeÃ¯tÃ©,Torino,26,1994,10.2,493,12,124,272,119,10,492,24,36,66.7,24,0,362,1625,823,29,9,0,16,17,403,355,88.1,26
Arthur Melo,Juventus,23,1996,12.9,1168,50,324,719,224,10,1148,16,18,88.9,16,1,903,4635,1938,81,22,1,10,15,984,948,96.3,20
Petar MiÄ‡in,Udinese,21,1998,0.2,9,0,1,6,4,0,9,0,0,,0,0,4,18,11,1,1,0,0,0,8,7,87.5,2
Sergej MilinkoviÄ‡-SaviÄ‡,Lazio,25,1995,30.5,2229,83,451,1199,726,99,2185,25,46,54.3,29,3,1483,7633,3575,151,46,14,67,51,1996,1697,85.0,160
Luca Mora,Spezia,32,1988,1.3,74,3,16,44,19,2,73,2,3,66.7,2,1,50,152,81,2,1,0,3,2,79,59,74.7,3
RaÃºl Moro,Lazio,17,2002,0.1,4,0,3,0,1,1,4,0,2,0.0,0,0,2,0,0,0,0,0,0,0,4,2,50.0,0
Radja Nainggolan,Inter,32,1988,0.5,46,0,1,26,20,1,45,0,0,,0,0,34,120,44,2,1,0,1,2,45,39,86.7,3
Radja Nainggolan,Cagliari,32,1988,20.5,1091,34,189,571,436,32,1063,29,61,47.5,32,0,807,4949,2347,96,44,6,24,39,868,733,84.4,87
Pedro Obiang,Sassuolo,28,1992,16.3,1077,65,271,654,208,12,1060,12,15,80.0,12,0,716,3255,1557,57,17,0,9,6,822,771,93.8,19
Christian Oliva,Cagliari,24,1996,4.3,218,13,51,153,32,1,208,3,3,100.0,3,0,129,701,450,18,2,0,0,6,144,131,91.0,3
Mattia Pagliuca,Bologna,18,2002,0.1,6,0,1,2,3,1,6,1,1,100.0,1,0,4,18,0,0,0,0,1,1,9,5,55.6,2
Antonio Palumbo,Sampdoria,23,1996,0.1,2,0,0,1,1,1,2,0,0,,0,0,1,2,2,0,0,0,0,0,2,2,100.0,0
Martin Palumbo,Udinese,18,2002,0.7,22,0,2,10,10,1,22,0,0,,0,0,8,18,0,0,0,0,0,1,17,10,58.8,4
Matteo Pessina,Atalanta,23,1997,18.3,1153,21,162,616,446,70,1141,17,38,44.7,18,1,874,4177,1912,102,28,7,36,29,1087,858,78.9,139
Jacopo Petriccione,Crotone,25,1995,10.6,578,24,188,349,76,1,539,0,2,0.0,0,0,380,1682,861,28,8,1,0,7,429,403,93.9,7
Tommaso Pobega,Spezia,21,1999,13.7,584,29,111,337,168,32,584,4,6,66.7,4,0,350,1399,681,27,11,4,13,9,460,397,86.3,34
Andrea Poli,Bologna,30,1989,4.3,261,19,72,138,66,9,256,5,5,100.0,5,0,181,752,336,12,4,0,5,5,193,169,87.6,8
Erick Pulgar,Fiorentina,26,1994,22.2,1345,92,296,839,255,3,1218,11,13,84.6,12,0,763,3116,1254,48,11,0,9,11,828,783,94.6,16
Adrien Rabiot,Juventus,25,1995,25.7,1760,97,481,1024,415,46,1723,26,40,65.0,29,0,1236,8110,4059,142,56,9,21,28,1409,1301,92.3,77
Aaron Ramsey,Juventus,29,1990,12.1,862,17,122,446,352,71,840,12,19,63.2,12,1,619,3261,1471,79,22,9,24,10,821,702,85.5,113
Matteo Ricci,Spezia,26,1994,24.8,1843,47,381,1222,330,14,1732,9,15,60.0,11,0,1161,4809,2250,86,27,2,8,12,1348,1293,95.9,29
TomÃ¡s RincÃ³n,Torino,32,1988,31.6,1689,83,468,995,335,35,1625,29,41,70.7,29,2,1096,4669,2285,81,38,4,25,32,1247,1102,88.4,40
Marko Rog,Cagliari,25,1995,12.9,748,30,185,485,147,8,727,21,24,87.5,22,1,521,2886,1686,61,27,2,15,18,541,496,91.7,16
Marten de Roon,Atalanta,29,1991,33.6,2452,86,541,1556,483,18,2378,14,21,66.7,14,1,1646,7618,3895,154,30,3,13,12,1704,1635,96.0,29
NicolÃ² Rovella,Genoa,18,2001,13.2,966,48,298,579,147,5,933,9,12,75.0,9,0,697,3387,1605,54,13,2,12,8,723,678,93.8,9
FabiÃ¡n Ruiz PeÃ±a,Napoli,24,1996,28.5,2379,93,536,1409,615,48,2314,20,31,64.5,21,2,1714,8758,4597,186,55,9,14,18,2007,1888,94.1,99
Siriki Sanogo,Benevento,18,2001,0.1,8,0,1,6,1,0,7,0,0,,0,0,5,22,0,0,0,0,0,0,6,6,100.0,0
NicolÃ¡s Schiappacasse,Sassuolo,21,1999,0.2,2,0,0,0,2,0,2,0,0,,0,0,2,3,0,0,0,0,1,0,4,1,25.0,1
Pasquale Schiattarella,Benevento,33,1987,25.0,1559,69,446,1014,204,9,1473,13,18,72.2,16,0,981,4903,2817,91,26,1,20,13,1081,1028,95.1,14
Jerdy Schouten,Bologna,23,1997,27.9,1669,95,476,978,304,4,1645,39,65,60.0,43,0,1107,4827,1941,68,27,3,19,32,1108,1045,94.3,30
Matteo Scozzarella,Parma,32,1988,1.7,126,5,31,77,27,0,110,0,0,,0,0,65,357,192,9,2,0,0,2,94,86,91.5,2
Jacopo Segre,Torino,23,1997,2.1,130,1,30,92,20,5,129,3,6,50.0,4,1,95,536,297,11,3,1,0,3,113,102,90.3,3
LÃ©o Sena,Spezia,24,1995,9.8,721,17,135,523,141,3,704,22,28,78.6,22,0,568,4192,2489,125,31,1,5,12,558,527,94.4,9
Stefano Sensi,Inter,24,1995,6.7,509,7,79,233,228,19,469,10,17,58.8,10,1,383,1648,875,37,13,4,14,9,419,378,90.2,38
Luca Siligardi,Crotone,32,1988,0.5,31,0,2,15,16,1,31,0,1,0.0,0,0,21,90,30,1,0,0,1,1,31,22,71.0,8
