Player,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Federico Santander,Bologna,29,1991,0.4,0,5,0,0.0,12.16,0.00,0.00,,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Riccardo Saponara,Fiorentina,28,1991,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gianluca Scamacca,Genoa,21,1999,15.0,8,46,16,34.8,3.06,1.07,0.13,0.38,16.9,1,2,2,7.3,5.8,0.13,+0.7,+0.2
Eldor Shomurodov,Genoa,25,1995,18.6,8,38,18,47.4,2.04,0.97,0.21,0.44,14.6,0,0,0,5.0,5.0,0.13,+3.0,+3.0
Luca Siligardi,Parma,32,1988,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Giovanni Simeone,Cagliari,25,1995,19.3,6,43,13,30.2,2.22,0.67,0.14,0.46,13.3,0,0,0,8.1,8.1,0.19,-2.1,-2.1
Mattia Sprocati,Parma,27,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ernesto Torregrossa,Sampdoria,28,1992,1.9,1,4,2,50.0,2.12,1.06,0.25,0.50,9.3,0,0,0,0.6,0.6,0.14,+0.4,+0.4
Daniele Verde,Spezia,24,1996,10.9,6,34,16,47.1,3.12,1.47,0.18,0.38,18.0,0,0,0,3.3,3.3,0.10,+2.7,+2.7
Edoardo Vergani,Bologna,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
DuÅ¡an VlahoviÄ‡,Fiorentina,20,2000,32.5,21,84,33,39.3,2.59,1.02,0.18,0.45,14.0,1,6,6,18.4,13.8,0.16,+2.6,+1.2
DuvÃ¡n Zapata,Atalanta,29,1991,26.4,15,98,38,38.8,3.71,1.44,0.14,0.37,13.1,0,1,1,15.4,14.6,0.15,-0.4,-0.6
Simone Zaza,Torino,29,1991,16.6,6,58,17,29.3,3.50,1.03,0.10,0.35,13.8,2,0,0,8.1,8.1,0.14,-2.1,-2.1
Musa Barrow,Bologna,21,1998,32.5,8,90,38,42.2,2.77,1.17,0.09,0.21,20.0,6,0,1,8.9,8.0,0.09,-0.9,0.0
Domenico Berardi,Sassuolo,25,1994,27.5,17,102,30,29.4,3.71,1.09,0.10,0.33,20.9,10,7,8,14.6,8.5,0.08,+2.4,+1.5
Jeremie Boga,Sassuolo,23,1997,19.8,4,33,15,45.5,1.66,0.76,0.12,0.27,15.4,0,0,0,3.6,3.6,0.11,+0.4,+0.4
Juan Brunetta,Parma,23,1997,5.3,1,10,5,50.0,1.89,0.95,0.10,0.20,18.2,1,0,0,1.3,1.3,0.13,-0.3,-0.3
JosÃ© CallejÃ³n,Fiorentina,33,1987,7.4,0,9,1,11.1,1.22,0.14,0.00,0.00,17.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Ebrima Colley,Hellas Verona,20,2000,8.2,1,17,7,41.2,2.08,0.86,0.06,0.14,14.1,0,0,0,1.9,1.9,0.11,-0.9,-0.9
Patrick Cutrone,Fiorentina,22,1998,2.2,0,3,1,33.3,1.38,0.46,0.00,0.00,11.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
GrÃ©goire Defrel,Sassuolo,29,1991,14.9,3,22,9,40.9,1.48,0.61,0.14,0.33,16.3,0,0,0,2.8,2.8,0.13,+0.2,+0.2
Jacopo Dezi,Parma,28,1992,0.9,0,1,0,0.0,1.14,0.00,0.00,,20.0,0,0,0,0.0,0.0,0.05,0.0,0.0
Giuseppe Di Serio,Benevento,19,2001,3.2,0,5,2,40.0,1.54,0.62,0.00,0.00,15.5,0,0,0,0.6,0.6,0.13,-0.6,-0.6
Denis DrÄƒguÈ™,Crotone,21,1999,2.0,0,4,0,0.0,2.03,0.00,0.00,,25.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Fernando Forestieri,Udinese,30,1990,6.1,1,11,3,27.3,1.79,0.49,0.09,0.33,17.1,0,0,0,1.2,1.2,0.11,-0.2,-0.2
Papu GÃ³mez,Atalanta,32,1988,7.4,4,29,12,41.4,3.92,1.62,0.14,0.33,19.4,1,0,0,2.2,2.2,0.08,+1.8,+1.8
LukÃ¡Å¡ HaraslÃ­n,Sassuolo,24,1996,3.7,0,12,5,41.7,3.24,1.35,0.00,0.00,17.9,1,0,0,0.9,0.9,0.08,-0.9,-0.9
Josip IliÄiÄ‡,Atalanta,32,1988,17.0,6,57,18,31.6,3.36,1.06,0.07,0.22,19.9,4,2,2,5.6,4.1,0.07,+0.4,-0.1
Hamed Junior TraorÃ¨,Sassuolo,20,2000,19.9,5,44,14,31.8,2.21,0.70,0.11,0.36,17.1,1,0,0,4.4,4.4,0.10,+0.6,+0.6
