Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%_GK,AvgLen_GK,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Nick Pope,eng ENG,GK,Burnley,28,1992,32.0,37,3,0,7,1,40.9,0.26,+4.9,+0.15,292,757,38.6,728,128,74.3,53.0,251,86.1,62.3,325,42,12.9,41,1.28,16.5
Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22,1998,38.0,63,3,0,8,3,61.9,0.29,+1.9,+0.05,290,859,33.8,860,124,70.0,52.8,281,91.5,69.7,336,32,9.5,22,0.58,15.3
Darren Randolph,ie IRL,GK,West Ham,33,1987,3.0,3,0,0,3,0,3.6,0.40,+0.6,+0.21,13,43,30.2,44,5,65.9,47.3,22,63.6,47.0,32,0,0.0,1,0.33,12.2
Marek RodÃ¡k,sk SVK,GK,Fulham,23,1996,2.0,5,1,0,1,0,4.0,0.45,-1.0,-0.52,7,14,50.0,39,7,28.2,30.6,7,42.9,37.4,16,2,12.5,1,0.50,13.7
John Ruddy,eng ENG,GK,Wolves,33,1986,1.0,1,0,0,1,0,1.1,0.28,+0.1,+0.13,1,6,16.7,19,10,26.3,33.5,5,20.0,39.6,9,0,0.0,0,0.00,10.4
Mathew Ryan,au AUS,GK,Brighton,28,1992,11.0,19,4,0,3,1,14.8,0.37,-3.2,-0.29,57,141,40.4,341,56,33.4,32.5,58,46.6,40.2,103,7,6.8,6,0.55,14.4
Robert SÃ¡nchez,es ESP,GK,Brighton,22,1997,27.0,27,2,0,6,1,30.8,0.34,+4.8,+0.18,182,472,38.6,918,107,40.5,38.3,177,56.5,46.7,210,11,5.2,14,0.52,14.4
Kasper Schmeichel,dk DEN,GK,Leicester City,33,1986,38.0,50,4,0,9,2,48.5,0.34,+0.5,+0.01,226,533,42.4,1009,164,42.4,38.0,209,50.2,42.7,297,24,8.1,14,0.37,13.0
Zack Steffen,us USA,GK,Manchester City,25,1995,1.0,1,0,0,0,0,0.6,0.32,-0.4,-0.37,2,6,33.3,20,4,25.0,31.1,8,12.5,20.5,10,0,0.0,0,0.00,7.0
JoÃ£o VirgÃ­nia,pt POR,GK,Everton,20,1999,0.5,0,0,0,0,0,0.2,0.07,+0.2,+0.39,3,11,27.3,13,3,61.5,50.9,4,75.0,54.5,2,0,0.0,0,0.00,21.0
